BIOGUIDE_ID,OFFICE,QUARTER,CATEGORY,DATE,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,TRANSCODE,TRANSCODELONG,RECORDID,RECIP (orig.)
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q3,OTHER SERVICES,18-Jul,ADVANCE DIGITAL SYSTEMS INC,6/23/14,6/30/14,CONSULTANT CONTRACT SERVICE,"$ 6,641.76",FISCAL YEAR 2014,AP,Accounts payable,740044,ADVANCE DIGITAL SYSTEMS INC
,CAO ADVANCED BUSINESS SOLUTION,2014Q2,OTHER SERVICES,13-May,ADVANCE DIGITAL SYSTEMS INC,4/1/14,4/30/14,CONSULTANT CONTRACT SERVICE,"$ 11,406.16",FISCAL YEAR 2014,AP,Accounts payable,727955,ADVANCE DIGITAL SYSTEMS INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q1,OTHER SERVICES,7-Mar,ADVANCE DIGITAL SYSTEMS INC,1/1/14,1/31/14,CONSULTANT CONTRACT SERVICE,"$ 14,500.80",FISCAL YEAR 2012,AP,Accounts payable,716503,ADVANCE DIGITAL SYSTEMS INC
,CAO ADVANCED BUSINESS SOLUTION,2014Q1,OTHER SERVICES,13-Mar,ADVANCE DIGITAL SYSTEMS INC,2/1/14,2/28/14,CONSULTANT CONTRACT SERVICE,"$ 19,285.00",FISCAL YEAR 2014,AP,Accounts payable,717167,ADVANCE DIGITAL SYSTEMS INC
,CAO ADVANCED BUSINESS SOLUTION,2014Q1,OTHER SERVICES,26-Feb,ADVANCE DIGITAL SYSTEMS INC,1/1/14,1/31/14,CONSULTANT CONTRACT SERVICE,"$ 19,698.25",FISCAL YEAR 2014,AP,Accounts payable,716081,ADVANCE DIGITAL SYSTEMS INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,OTHER SERVICES,2-Oct,ADVANCE DIGITAL SYSTEMS INC,8/1/14,8/31/14,CONSULTANT CONTRACT SERVICE,"$ 22,139.20",FISCAL YEAR 2014,AP,Accounts payable,753279,ADVANCE DIGITAL SYSTEMS INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,OTHER SERVICES,3-Dec,ADVANCE DIGITAL SYSTEMS INC,10/1/14,10/31/14,CONSULTANT CONTRACT SERVICE,"$ 22,415.94",FISCAL YEAR 2014,AP,Accounts payable,763420,ADVANCE DIGITAL SYSTEMS INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,OTHER SERVICES,14-Nov,ADVANCE DIGITAL SYSTEMS INC,9/1/14,9/30/14,CONSULTANT CONTRACT SERVICE,"$ 24,076.38",FISCAL YEAR 2014,AP,Accounts payable,758845,ADVANCE DIGITAL SYSTEMS INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q3,OTHER SERVICES,20-Aug,ADVANCE DIGITAL SYSTEMS INC,7/1/14,7/31/14,CONSULTANT CONTRACT SERVICE,"$ 27,674.00",FISCAL YEAR 2014,AP,Accounts payable,747520,ADVANCE DIGITAL SYSTEMS INC
,CLERK OF THE HOUSE,2014Q2,OTHER SERVICES,7-Apr,ADVENTOS,1/1/14,1/1/14,CONSULTANT CONTRACT SERVICE,"$ 18,268.81",FISCAL YEAR 2014,AP,Accounts payable,722383,ADVENTOS
,COMMITTEE ON APPROPRIATIONS,2014Q2,OTHER SERVICES,29-May,ALFRED CUMMING,5/1/14,5/31/14,CONSULTANT CONTRACT SERVICE,"$ 3,675.00",FISCAL YEAR 2014,AP,Accounts payable,E0157643,ALFRED CUMMING
,COMMITTEE ON APPROPRIATIONS,2014Q2,OTHER SERVICES,29-Apr,ALFRED CUMMING,4/1/14,4/30/14,CONSULTANT CONTRACT SERVICE,"$ 8,400.00",FISCAL YEAR 2014,AP,Accounts payable,E0145730,ALFRED CUMMING
,COMMITTEE ON APPROPRIATIONS,2014Q2,OTHER SERVICES,2-Apr,ALFRED CUMMING,3/1/14,3/31/14,CONSULTANT CONTRACT SERVICE,"$ 8,925.00",FISCAL YEAR 2014,AP,Accounts payable,E0135469,ALFRED CUMMING
,OFFICE OF THE MINORITY WHIP,2014Q2,OTHER SERVICES,14-Apr,APOLLO POLITICAL LLC,3/28/14,3/28/14,CONSULTANT CONTRACT SERVICE,"$ 2,850.00",2014,AP,Accounts payable,E0139754,APOLLO POLITICAL LLC
,HOUSE ADMINISTRATION,2014Q1,OTHER SERVICES,31-Mar,BAKER AND HOSTETLER,2/1/14,2/28/14,CONSULTANT CONTRACT SERVICE,"$ 8,314.79",2014,AP,Accounts payable,E0133777,BAKER AND HOSTETLER
,HOUSE ADMINISTRATION,2014Q1,OTHER SERVICES,31-Mar,BAKER AND HOSTETLER,1/1/14,1/31/14,CONSULTANT CONTRACT SERVICE,"$ 27,160.64",2014,AP,Accounts payable,E0133773,BAKER AND HOSTETLER
,OFFICE OF THE MINORITY LEADER,2015Q1,OTHER SERVICES,6-Jan,BERNARD RAIMO,12/1/14,12/31/14,CONSULTANT CONTRACT SERVICE,"$ 7,628.00",2014,AP,Accounts payable,E0232478,BERNARD RAIMO
,OFFICE OF THE MINORITY LEADER,2014Q1,OTHER SERVICES,20-Feb,BERNARD RAIMO,1/1/14,1/31/14,CONSULTANT CONTRACT SERVICE,"$ 7,628.00",2014,AP,Accounts payable,715727,BERNARD RAIMO
,OFFICE OF THE MINORITY LEADER,2014Q1,OTHER SERVICES,4-Mar,BERNARD RAIMO,2/1/14,2/28/14,CONSULTANT CONTRACT SERVICE,"$ 7,628.00",2014,AP,Accounts payable,E0124125,BERNARD RAIMO
,OFFICE OF THE MINORITY LEADER,2014Q1,OTHER SERVICES,6-Feb,BERNARD RAIMO,1/1/14,1/31/14,CONSULTANT CONTRACT SERVICE,"$ 7,628.00",2014,AP,Accounts payable,E0115690,BERNARD RAIMO
,OFFICE OF THE MINORITY LEADER,2014Q2,OTHER SERVICES,7-Apr,BERNARD RAIMO,3/1/14,3/31/14,CONSULTANT CONTRACT SERVICE,"$ 7,628.00",2014,AP,Accounts payable,E0137882,BERNARD RAIMO
,OFFICE OF THE MINORITY LEADER,2014Q2,OTHER SERVICES,5-May,BERNARD RAIMO,4/1/14,4/30/14,CONSULTANT CONTRACT SERVICE,"$ 7,628.00",2014,AP,Accounts payable,E0147734,BERNARD RAIMO
,OFFICE OF THE MINORITY LEADER,2014Q2,OTHER SERVICES,30-May,BERNARD RAIMO,5/1/14,5/31/14,CONSULTANT CONTRACT SERVICE,"$ 7,628.00",2014,AP,Accounts payable,E0158270,BERNARD RAIMO
,OFFICE OF THE MINORITY LEADER,2014Q3,OTHER SERVICES,9-Jul,BERNARD RAIMO,6/1/14,6/30/14,CONSULTANT CONTRACT SERVICE,"$ 7,628.00",2014,AP,Accounts payable,E0171912,BERNARD RAIMO
,OFFICE OF THE MINORITY LEADER,2014Q3,OTHER SERVICES,1-Aug,BERNARD RAIMO,7/1/14,7/31/14,CONSULTANT CONTRACT SERVICE,"$ 7,628.00",2014,AP,Accounts payable,E0180386,BERNARD RAIMO
,OFFICE OF THE MINORITY LEADER,2014Q3,OTHER SERVICES,9-Sep,BERNARD RAIMO,8/1/14,8/31/14,CONSULTANT CONTRACT SERVICE,"$ 7,628.00",2014,AP,Accounts payable,E0192141,BERNARD RAIMO
,OFFICE OF THE MINORITY LEADER,2014Q4,OTHER SERVICES,3-Oct,BERNARD RAIMO,9/1/14,9/30/14,CONSULTANT CONTRACT SERVICE,"$ 7,628.00",2014,AP,Accounts payable,E0201883,BERNARD RAIMO
,OFFICE OF THE MINORITY LEADER,2014Q4,OTHER SERVICES,10-Nov,BERNARD RAIMO,10/1/14,10/31/14,CONSULTANT CONTRACT SERVICE,"$ 7,628.00",2014,AP,Accounts payable,E0212871,BERNARD RAIMO
,OFFICE OF THE MINORITY LEADER,2014Q4,OTHER SERVICES,5-Dec,BERNARD RAIMO,11/1/14,11/30/14,CONSULTANT CONTRACT SERVICE,"$ 7,628.00",2014,AP,Accounts payable,E0222117,BERNARD RAIMO
N000187,HON. GLORIA NEGRETE MCLEOD,2014Q3,OTHER SERVICES,6-Aug,BLOOMBERG FINANCE LP,7/1/14,7/31/14,CONSULTANT CONTRACT SERVICE,$ 487.50,2014,AP,Accounts payable,E0182148,BLOOMBERG FINANCE LP
N000187,HON. GLORIA NEGRETE MCLEOD,2014Q3,OTHER SERVICES,8-Sep,BLOOMBERG FINANCE LP,9/1/14,9/30/14,CONSULTANT CONTRACT SERVICE,$ 487.50,2014,AP,Accounts payable,E0191996,BLOOMBERG FINANCE LP
N000187,HON. GLORIA NEGRETE MCLEOD,2014Q4,OTHER SERVICES,27-Oct,BLOOMBERG LP,10/1/14,10/31/14,CONSULTANT CONTRACT SERVICE,$ 487.50,2014,AP,Accounts payable,E0209124,BLOOMBERG LP
,COMMITTEE ON APPROPRIATIONS,2014Q1,OTHER SERVICES,28-Jan,BRIAN SHORTLEY,1/1/14,1/31/14,CONSULTANT CONTRACT SERVICE,"$ 5,225.00",FISCAL YEAR 2014,AP,Accounts payable,E0111867,BRIAN SHORTLEY
,COMMITTEE ON APPROPRIATIONS,2014Q1,OTHER SERVICES,28-Feb,BRIAN SHORTLEY,2/1/14,2/28/14,CONSULTANT CONTRACT SERVICE,"$ 6,600.00",FISCAL YEAR 2014,AP,Accounts payable,E0123123,BRIAN SHORTLEY
,COMMITTEE ON APPROPRIATIONS,2014Q2,OTHER SERVICES,29-Apr,BRIAN SHORTLEY,4/1/14,4/30/14,CONSULTANT CONTRACT SERVICE,"$ 7,150.00",FISCAL YEAR 2014,AP,Accounts payable,E0145737,BRIAN SHORTLEY
,COMMITTEE ON APPROPRIATIONS,2014Q1,OTHER SERVICES,31-Mar,BRIAN SHORTLEY,3/1/14,3/31/14,CONSULTANT CONTRACT SERVICE,"$ 7,425.00",FISCAL YEAR 2014,AP,Accounts payable,E0135462,BRIAN SHORTLEY
Y000062,HON. JOHN A. YARMUTH,2014Q1,OTHER SERVICES,10-Jan,CARE SECURITY SERVICES,1/1/14,12/31/14,CONSULTANT CONTRACT SERVICE,$ 300.00,2014,AP,Accounts payable,E0105896,CARE SECURITY SERVICES
,COMMITTEE ON APPROPRIATIONS,2014Q3,OTHER SERVICES,25-Sep,CAROL J SCHMIDT,9/1/14,9/30/14,CONSULTANT CONTRACT SERVICE,"$ 1,150.00",FISCAL YEAR 2014,AP,Accounts payable,E0199302,CAROL J SCHMIDT
,COMMITTEE ON APPROPRIATIONS,2014Q3,OTHER SERVICES,28-Aug,CAROL J SCHMIDT,8/1/14,8/31/14,CONSULTANT CONTRACT SERVICE,"$ 11,500.00",FISCAL YEAR 2014,AP,Accounts payable,E0189226,CAROL J SCHMIDT
,COMMITTEE ON APPROPRIATIONS,2014Q4,OTHER SERVICES,29-Oct,CAROL J SCHMIDT,10/1/14,10/31/14,CONSULTANT CONTRACT SERVICE,"$ 11,500.00",FISCAL YEAR 2014,AP,Accounts payable,E0209749,CAROL J SCHMIDT
,COMMITTEE ON APPROPRIATIONS,2014Q1,OTHER SERVICES,28-Feb,CHARLES M ADAMS,2/19/14,2/28/14,CONSULTANT CONTRACT SERVICE,"$ 4,200.00",FISCAL YEAR 2014,AP,Accounts payable,E0123112,CHARLES M ADAMS
,COMMITTEE ON APPROPRIATIONS,2014Q2,OTHER SERVICES,29-Apr,CHARLES M ADAMS,4/1/14,4/30/14,CONSULTANT CONTRACT SERVICE,"$ 9,450.00",FISCAL YEAR 2014,AP,Accounts payable,E0145734,CHARLES M ADAMS
,COMMITTEE ON APPROPRIATIONS,2014Q2,OTHER SERVICES,29-May,CHARLES M ADAMS,5/1/14,5/31/14,CONSULTANT CONTRACT SERVICE,"$ 9,450.00",FISCAL YEAR 2014,AP,Accounts payable,E0157640,CHARLES M ADAMS
,COMMITTEE ON APPROPRIATIONS,2014Q1,OTHER SERVICES,31-Mar,CHARLES M ADAMS,3/1/14,3/31/14,CONSULTANT CONTRACT SERVICE,"$ 9,975.00",FISCAL YEAR 2014,AP,Accounts payable,E0135466,CHARLES M ADAMS
,OFFICE OF THE PARLIAMENTARIAN,2014Q2,OTHER SERVICES,24-Jun,CHARLES W JOHNSON III,1/13/14,6/19/14,CONSULTANT CONTRACT SERVICE,"$ 6,000.00",FISCAL YEAR 2014,AP,Accounts payable,E0167148,CHARLES W JOHNSON III
,OFFICE OF THE PARLIAMENTARIAN,2014Q4,OTHER SERVICES,12-Dec,CHARLES W JOHNSON III,7/10/14,12/9/14,CONSULTANT CONTRACT SERVICE,"$ 6,250.00",FISCAL YEAR 2014,AP,Accounts payable,E0224286,CHARLES W JOHNSON III
,COMMITTEE ON APPROPRIATIONS,2014Q1,OTHER SERVICES,28-Jan,CHESTER L TURNER III,1/1/14,1/31/14,CONSULTANT CONTRACT SERVICE,"$ 12,000.00",FISCAL YEAR 2014,AP,Accounts payable,E0111915,CHESTER L TURNER III
,COMMITTEE ON APPROPRIATIONS,2014Q1,OTHER SERVICES,26-Feb,CHESTER L TURNER III,2/1/14,2/28/14,CONSULTANT CONTRACT SERVICE,"$ 12,000.00",FISCAL YEAR 2014,AP,Accounts payable,E0123111,CHESTER L TURNER III
,COMMITTEE ON APPROPRIATIONS,2014Q1,OTHER SERVICES,31-Mar,CHESTER L TURNER III,3/1/14,3/31/14,CONSULTANT CONTRACT SERVICE,"$ 12,000.00",FISCAL YEAR 2014,AP,Accounts payable,E0135293,CHESTER L TURNER III
,COMMITTEE ON APPROPRIATIONS,2014Q2,OTHER SERVICES,28-Apr,CHESTER L TURNER III,4/1/14,4/30/14,CONSULTANT CONTRACT SERVICE,"$ 12,000.00",FISCAL YEAR 2014,AP,Accounts payable,E0145503,CHESTER L TURNER III
,COMMITTEE ON APPROPRIATIONS,2014Q2,OTHER SERVICES,29-May,CHESTER L TURNER III,5/1/14,5/31/14,CONSULTANT CONTRACT SERVICE,"$ 12,000.00",FISCAL YEAR 2014,AP,Accounts payable,732449,CHESTER L TURNER III
,COMMITTEE ON APPROPRIATIONS,2014Q2,OTHER SERVICES,25-Jun,CHESTER L TURNER III,6/1/14,6/30/14,CONSULTANT CONTRACT SERVICE,"$ 12,000.00",FISCAL YEAR 2014,AP,Accounts payable,E0167843,CHESTER L TURNER III
,COMMITTEE ON APPROPRIATIONS,2014Q3,OTHER SERVICES,30-Jul,CHESTER L TURNER III,7/1/14,7/31/14,CONSULTANT CONTRACT SERVICE,"$ 12,000.00",FISCAL YEAR 2014,AP,Accounts payable,E0179611,CHESTER L TURNER III
,COMMITTEE ON APPROPRIATIONS,2014Q3,OTHER SERVICES,28-Aug,CHESTER L TURNER III,8/1/14,8/31/14,CONSULTANT CONTRACT SERVICE,"$ 12,000.00",FISCAL YEAR 2014,AP,Accounts payable,E0189228,CHESTER L TURNER III
,COMMITTEE ON APPROPRIATIONS,2014Q3,OTHER SERVICES,25-Sep,CHESTER L TURNER III,9/1/14,9/30/14,CONSULTANT CONTRACT SERVICE,"$ 12,000.00",FISCAL YEAR 2014,AP,Accounts payable,E0199309,CHESTER L TURNER III
,COMMITTEE ON APPROPRIATIONS,2014Q4,OTHER SERVICES,29-Oct,CHESTER L TURNER III,10/1/14,10/31/14,CONSULTANT CONTRACT SERVICE,"$ 12,000.00",FISCAL YEAR 2014,AP,Accounts payable,E0209744,CHESTER L TURNER III
,COMMITTEE ON APPROPRIATIONS,2014Q4,OTHER SERVICES,25-Nov,CHESTER L TURNER III,11/1/14,11/30/14,CONSULTANT CONTRACT SERVICE,"$ 12,000.00",FISCAL YEAR 2015,AP,Accounts payable,E0219195,CHESTER L TURNER III
,COMMITTEE ON APPROPRIATIONS,2014Q4,OTHER SERVICES,16-Dec,CHESTER L TURNER III,12/1/14,12/31/14,CONSULTANT CONTRACT SERVICE,"$ 12,000.00",FISCAL YEAR 2015,AP,Accounts payable,E0226254,CHESTER L TURNER III
,COMMITTEE ON APPROPRIATIONS,2014Q3,OTHER SERVICES,30-Jul,CLARENCE D RHODY,7/1/14,7/31/14,CONSULTANT CONTRACT SERVICE,"$ 1,437.50",FISCAL YEAR 2014,AP,Accounts payable,E0179612,CLARENCE D RHODY
,COMMITTEE ON APPROPRIATIONS,2014Q3,OTHER SERVICES,28-Aug,CLARENCE D RHODY,8/1/14,8/31/14,CONSULTANT CONTRACT SERVICE,"$ 6,475.00",FISCAL YEAR 2014,AP,Accounts payable,E0189230,CLARENCE D RHODY
,COMMITTEE ON APPROPRIATIONS,2014Q2,OTHER SERVICES,29-Apr,CLARENCE D RHODY,4/1/14,4/30/14,CONSULTANT CONTRACT SERVICE,"$ 9,775.00",FISCAL YEAR 2014,AP,Accounts payable,E0145739,CLARENCE D RHODY
,COMMITTEE ON APPROPRIATIONS,2014Q2,OTHER SERVICES,29-May,CLARENCE D RHODY,5/1/14,5/31/14,CONSULTANT CONTRACT SERVICE,"$ 11,500.00",FISCAL YEAR 2014,AP,Accounts payable,E0157650,CLARENCE D RHODY
,COMMITTEE ON APPROPRIATIONS,2014Q2,OTHER SERVICES,26-Jun,CLARENCE D RHODY,6/1/14,6/30/14,CONSULTANT CONTRACT SERVICE,"$ 11,500.00",FISCAL YEAR 2014,AP,Accounts payable,E0168186,CLARENCE D RHODY
,COMMITTEE ON APPROPRIATIONS,2014Q4,OTHER SERVICES,29-Oct,CLARENCE D RHODY,10/1/14,10/31/14,CONSULTANT CONTRACT SERVICE,"$ 11,800.00",FISCAL YEAR 2014,AP,Accounts payable,E0209754,CLARENCE D RHODY
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q3,OTHER SERVICES,10-Sep,CONGRESSIONAL MANAGEMENT FOUNDATION,8/21/14,8/28/14,CONSULTANT CONTRACT SERVICE,"$ 4,000.00",FISCAL YEAR 2014,AP,Accounts payable,748407,CONGRESSIONAL MANAGEMENT FOUNDATION
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q2,OTHER SERVICES,30-Jun,CONGRESSIONAL MANAGEMENT FOUNDATION,3/10/14,3/26/14,CONSULTANT CONTRACT SERVICE,"$ 5,500.00",FISCAL YEAR 2014,AP,Accounts payable,737661,CONGRESSIONAL MANAGEMENT FOUNDATION
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,OTHER SERVICES,26-Nov,CONGRESSIONAL MANAGEMENT FOUNDATION,10/1/14,10/23/14,CONSULTANT CONTRACT SERVICE,"$ 5,500.00",FISCAL YEAR 2014,AP,Accounts payable,763236,CONGRESSIONAL MANAGEMENT FOUNDATION
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,OTHER SERVICES,21-Nov,CONGRESSIONAL MANAGEMENT FOUNDATION,11/4/14,11/12/14,CONSULTANT CONTRACT SERVICE,"$ 5,500.00",FISCAL YEAR 2014,AP,Accounts payable,763020,CONGRESSIONAL MANAGEMENT FOUNDATION
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q1,OTHER SERVICES,31-Mar,CONGRESSIONAL MANAGEMENT FOUNDATION,1/9/14,1/29/14,CONSULTANT CONTRACT SERVICE,"$ 7,000.00",FISCAL YEAR 2014,AP,Accounts payable,721885,CONGRESSIONAL MANAGEMENT FOUNDATION
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q2,OTHER SERVICES,6-Jun,CONGRESSIONAL MANAGEMENT FOUNDATION,2/6/14,2/26/14,CONSULTANT CONTRACT SERVICE,"$ 7,000.00",FISCAL YEAR 2014,AP,Accounts payable,732828,CONGRESSIONAL MANAGEMENT FOUNDATION
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q2,OTHER SERVICES,27-Jun,CONGRESSIONAL MANAGEMENT FOUNDATION,4/2/14,4/24/14,CONSULTANT CONTRACT SERVICE,"$ 7,000.00",FISCAL YEAR 2014,AP,Accounts payable,737662,CONGRESSIONAL MANAGEMENT FOUNDATION
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q2,OTHER SERVICES,27-Jun,CONGRESSIONAL MANAGEMENT FOUNDATION,5/7/14,5/29/14,CONSULTANT CONTRACT SERVICE,"$ 7,000.00",FISCAL YEAR 2014,AP,Accounts payable,737663,CONGRESSIONAL MANAGEMENT FOUNDATION
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q2,OTHER SERVICES,27-Jun,CONGRESSIONAL MANAGEMENT FOUNDATION,6/11/14,6/24/14,CONSULTANT CONTRACT SERVICE,"$ 7,000.00",FISCAL YEAR 2014,AP,Accounts payable,737654,CONGRESSIONAL MANAGEMENT FOUNDATION
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q3,OTHER SERVICES,29-Jul,CONGRESSIONAL MANAGEMENT FOUNDATION,7/1/14,7/16/14,CONSULTANT CONTRACT SERVICE,"$ 7,000.00",FISCAL YEAR 2014,AP,Accounts payable,742791,CONGRESSIONAL MANAGEMENT FOUNDATION
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q3,OTHER SERVICES,26-Sep,CONGRESSIONAL MANAGEMENT FOUNDATION,9/10/14,9/23/14,CONSULTANT CONTRACT SERVICE,"$ 7,000.00",FISCAL YEAR 2014,AP,Accounts payable,753034,CONGRESSIONAL MANAGEMENT FOUNDATION
,CAO ADVANCED BUSINESS SOLUTION,2014Q2,OTHER SERVICES,14-May,CYBERMEDIA TECHNOLOGIES INC,3/17/14,3/31/14,CONSULTANT CONTRACT SERVICE,"$ 13,143.60",FISCAL YEAR 2014,AP,Accounts payable,727994,CYBERMEDIA TECHNOLOGIES INC
,CAO ADVANCED BUSINESS SOLUTION,2014Q3,OTHER SERVICES,18-Sep,CYBERMEDIA TECHNOLOGIES INC,8/1/14,8/31/14,CONSULTANT CONTRACT SERVICE,"$ 21,467.88",FISCAL YEAR 2014,AP,Accounts payable,752689,CYBERMEDIA TECHNOLOGIES INC
,CAO ADVANCED BUSINESS SOLUTION,2014Q3,OTHER SERVICES,19-Aug,CYBERMEDIA TECHNOLOGIES INC,6/9/14,6/30/14,CONSULTANT CONTRACT SERVICE,"$ 28,039.68",FISCAL YEAR 2014,AP,Accounts payable,747534,CYBERMEDIA TECHNOLOGIES INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,OTHER SERVICES,16-Dec,CYBERMEDIA TECHNOLOGIES INC,11/1/14,11/30/14,CONSULTANT CONTRACT SERVICE,"$ 29,573.10",FISCAL YEAR 2014,AP,Accounts payable,764084,CYBERMEDIA TECHNOLOGIES INC
,CAO ADVANCED BUSINESS SOLUTION,2014Q2,OTHER SERVICES,14-May,CYBERMEDIA TECHNOLOGIES INC,4/1/14,4/30/14,CONSULTANT CONTRACT SERVICE,"$ 31,544.64",FISCAL YEAR 2014,AP,Accounts payable,727989,CYBERMEDIA TECHNOLOGIES INC
,CAO ADVANCED BUSINESS SOLUTION,2014Q2,OTHER SERVICES,24-Jun,CYBERMEDIA TECHNOLOGIES INC,5/1/14,5/31/14,CONSULTANT CONTRACT SERVICE,"$ 32,639.94",FISCAL YEAR 2014,AP,Accounts payable,737429,CYBERMEDIA TECHNOLOGIES INC
,CAO ADVANCED BUSINESS SOLUTION,2014Q3,OTHER SERVICES,26-Aug,CYBERMEDIA TECHNOLOGIES INC,7/1/14,7/31/14,CONSULTANT CONTRACT SERVICE,"$ 32,859.00",FISCAL YEAR 2014,AP,Accounts payable,747709,CYBERMEDIA TECHNOLOGIES INC
,CAO ADVANCED BUSINESS SOLUTION,2014Q4,OTHER SERVICES,4-Dec,CYBERMEDIA TECHNOLOGIES INC,10/1/14,10/31/14,CONSULTANT CONTRACT SERVICE,"$ 35,378.19",FISCAL YEAR 2015,AP,Accounts payable,763474,CYBERMEDIA TECHNOLOGIES INC
,CAO ADVANCED BUSINESS SOLUTION,2014Q3,OTHER SERVICES,14-Jul,CYBERMEDIA TECHNOLOGIES INC,6/1/14,6/30/14,CONSULTANT CONTRACT SERVICE,"$ 35,706.78",FISCAL YEAR 2014,AP,Accounts payable,738332,CYBERMEDIA TECHNOLOGIES INC
,CAO ADVANCED BUSINESS SOLUTION,2014Q4,OTHER SERVICES,10-Nov,CYBERMEDIA TECHNOLOGIES INC,9/1/14,9/30/14,CONSULTANT CONTRACT SERVICE,"$ 36,473.49",FISCAL YEAR 2015,AP,Accounts payable,758678,CYBERMEDIA TECHNOLOGIES INC
,CAO ADVANCED BUSINESS SOLUTION,2014Q3,OTHER SERVICES,17-Sep,CYBERMEDIA TECHNOLOGIES INC,8/1/14,8/31/14,CONSULTANT CONTRACT SERVICE,"$ 36,583.02",FISCAL YEAR 2014,AP,Accounts payable,750310,CYBERMEDIA TECHNOLOGIES INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,OTHER SERVICES,18-Nov,CYBERMEDIA TECHNOLOGIES INC,10/1/14,10/31/14,CONSULTANT CONTRACT SERVICE,"$ 36,802.08",FISCAL YEAR 2014,AP,Accounts payable,762869,CYBERMEDIA TECHNOLOGIES INC
,CAO ADVANCED BUSINESS SOLUTION,2014Q3,OTHER SERVICES,19-Aug,CYBERMEDIA TECHNOLOGIES INC,7/1/14,7/31/14,CONSULTANT CONTRACT SERVICE,"$ 38,554.56",FISCAL YEAR 2014,AP,Accounts payable,747507,CYBERMEDIA TECHNOLOGIES INC
