BIOGUIDE_ID,OFFICE,QUARTER,CATEGORY,DATE,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,TRANSCODE,TRANSCODELONG,RECORDID,RECIP (orig.)
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,12-Dec,BENTLEY PRINCE STREET,10/24/14,10/31/14,CARPET QTY - 400,"$26,536.00",FISCAL YEAR 2014,AP,Accounts payable,763705,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,12-Dec,BENTLEY PRINCE STREET,10/24/14,10/31/14,CARPET QTY - 44,"$1,331.44",FISCAL YEAR 2014,AP,Accounts payable,763705,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q2,EQUIPMENT,18-Apr,SPONGE-CUSHION INC,4/3/14,4/3/14,CARPET QTY - 50,"$7,290.00",FISCAL YEAR 2014,AP,Accounts payable,726729,SPONGE-CUSHION INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,12-Dec,BENTLEY PRINCE STREET,10/24/14,10/31/14,CARPET QTY - 500,"$48,250.00",FISCAL YEAR 2014,AP,Accounts payable,763705,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,8-Oct,BENTLEY PRINCE STREET,9/26/14,9/26/14,CARPET QTY - 6,$321.30,FISCAL YEAR 2014,AP,Accounts payable,753553,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q3,EQUIPMENT,20-Aug,SPONGE-CUSHION INC,8/6/14,8/6/14,CARPET QTY - 60,"$8,748.00",FISCAL YEAR 2014,AP,Accounts payable,747554,SPONGE-CUSHION INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q2,EQUIPMENT,14-May,BENTLEY PRINCE STREET,4/22/14,4/22/14,CARPET QTY - 600,"$20,748.00",FISCAL YEAR 2014,AP,Accounts payable,727982,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q1,EQUIPMENT,26-Feb,BENTLEY PRINCE STREET,1/24/14,1/24/14,CARPET QTY - 700,"$24,206.00",FISCAL YEAR 2014,AP,Accounts payable,716054,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,12-Dec,BENTLEY PRINCE STREET,10/24/14,10/31/14,CARPET QTY - 8,$530.72,FISCAL YEAR 2014,AP,Accounts payable,763705,BENTLEY PRINCE STREET
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,8-Oct,BENTLEY PRINCE STREET,9/26/14,9/26/14,CARPET QTY - 9,$298.98,FISCAL YEAR 2014,AP,Accounts payable,753553,BENTLEY PRINCE STREET
,COMMUNICATIONS SERVICES,2014Q4,EQUIPMENT,12-Nov,FOREGROUND SECURITY,9/19/14,9/19/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$36,993.21",FISCAL YEAR 2014,AP,Accounts payable,758802,FOREGROUND SECURITY
,CAO ADVANCED BUSINESS SOLUTION,2014Q3,EQUIPMENT,28-Aug,RED RIVER COMPUTER COMPANY INC,7/25/14,8/2/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$41,787.07",FISCAL YEAR 2014,AP,Accounts payable,747828,RED RIVER COMPUTER COMPANY INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,12-Nov,FOREGROUND SECURITY,10/6/14,10/6/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$50,069.92",FISCAL YEAR 2014,AP,Accounts payable,753750,FOREGROUND SECURITY
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q3,EQUIPMENT,17-Sep,AVAYA,9/9/14,9/9/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$51,540.52",FISCAL YEAR 2012,AP,Accounts payable,750270,AVAYA
,TRANSPORTATION-INFRASTRUCTURE,2015Q1,EQUIPMENT,18-Feb,STORAGEHAWK,12/17/14,12/17/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$51,620.00",2014,AP,Accounts payable,775747,STORAGEHAWK
,COMMITTEE ON AGRICULTURE,2015Q1,EQUIPMENT,27-Feb,STORAGEHAWK,2/11/15,2/11/15,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$51,999.00",2014,AP,Accounts payable,778847,STORAGEHAWK
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,18-Dec,INTELLIGENT DECISIONS INC,11/18/14,11/18/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$53,158.20",FISCAL YEAR 2014,AP,Accounts payable,768014,INTELLIGENT DECISIONS INC
,COMMUNICATIONS SERVICES,2014Q4,EQUIPMENT,3-Nov,MATRIX SOLUTIONS INC,9/29/14,9/29/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$58,548.80",FISCAL YEAR 2014,AP,Accounts payable,758468,MATRIX SOLUTIONS INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,26-Nov,INTELLIGENT DECISIONS INC,9/8/14,9/8/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$59,163.26",FISCAL YEAR 2014,AP,Accounts payable,763249,INTELLIGENT DECISIONS INC
,COMMUNICATIONS SERVICES,2014Q4,EQUIPMENT,31-Oct,AUGUST SCHELL ENTERPRISES,9/26/14,9/26/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$74,055.00",FISCAL YEAR 2014,AP,Accounts payable,758404,AUGUST SCHELL ENTERPRISES
,COMMITTEE ON FINANCIAL SERVICE,2015Q1,EQUIPMENT,3-Mar,DLT SOLUTIONS,1/7/15,1/6/16,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$75,550.86",2014,AP,Accounts payable,778971,DLT SOLUTIONS
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,11-Dec,CDW GOVERNMENT INC. C/O ISM IN,11/21/14,11/21/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$77,407.94",FISCAL YEAR 2014,AP,Accounts payable,763883,CDW GOVERNMENT INC. C/O ISM IN
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q1,EQUIPMENT,12-Mar,INTELLIGENT DECISIONS INC,2/26/14,2/26/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$87,248.00",FISCAL YEAR 2014,AP,Accounts payable,717117,INTELLIGENT DECISIONS INC
,CLERK OF THE HOUSE,2014Q3,EQUIPMENT,10-Sep,THUNDERCAT TECHNOLOGY LLC,8/25/14,8/25/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$89,880.66",FISCAL YEAR 2014,AP,Accounts payable,748432,THUNDERCAT TECHNOLOGY LLC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,27-Oct,CDW GOVERNMENT INC. C/O ISM IN,10/8/14,10/8/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$101,640.04",FISCAL YEAR 2014,AP,Accounts payable,758187,CDW GOVERNMENT INC. C/O ISM IN
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,3-Oct,MAD SECURITY LLC,9/22/14,9/22/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$163,098.88",FISCAL YEAR 2014,AP,Accounts payable,753422,MAD SECURITY LLC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,24-Dec,CDW GOVERNMENT INC. C/O ISM IN,11/14/14,11/14/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$177,553.33",FISCAL YEAR 2014,AP,Accounts payable,768253,CDW GOVERNMENT INC. C/O ISM IN
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,21-Nov,PC MALL GOV INC,10/21/14,10/21/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$230,891.89",FISCAL YEAR 2014,AP,Accounts payable,763042,PC MALL GOV INC
,JOINT COMMMITTEE ON TAXATION,2014Q3,EQUIPMENT,16-Jul,STORAGEHAWK,6/25/14,6/25/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$231,876.00",FISCAL YEAR 2014,AP,Accounts payable,E0175096,STORAGEHAWK
,CAO ADVANCED BUSINESS SOLUTION,2014Q2,EQUIPMENT,6-May,RED RIVER COMPUTER COMPANY INC,3/31/14,4/16/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$243,285.50",FISCAL YEAR 2014,AP,Accounts payable,727529,RED RIVER COMPUTER COMPANY INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,31-Oct,FISHNET SECURITY INC,9/23/14,9/23/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$245,493.90",FISCAL YEAR 2014,AP,Accounts payable,758414,FISHNET SECURITY INC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q3,EQUIPMENT,21-Jul,THUNDERCAT TECHNOLOGY LLC,7/3/14,7/3/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$277,858.32",FISCAL YEAR 2014,AP,Accounts payable,742446,THUNDERCAT TECHNOLOGY LLC
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q3,EQUIPMENT,31-Jul,AVAYA,7/29/14,7/29/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$291,801.52",FISCAL YEAR 2014,AP,Accounts payable,742821,AVAYA
,CHIEF ADMIN OFCR OF THE HOUSE,2014Q4,EQUIPMENT,27-Oct,IRONBRICK ASSOCIATES INC,10/3/14,10/3/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$314,294.00",FISCAL YEAR 2014,AP,Accounts payable,758186,IRONBRICK ASSOCIATES INC
,JOINT COMMMITTEE ON TAXATION,2014Q3,EQUIPMENT,24-Jul,STORAGEHAWK,6/12/14,6/12/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$326,124.00",FISCAL YEAR 2014,AP,Accounts payable,E0175190,STORAGEHAWK
,ENTERPRISE OPERATIONS,2014Q4,EQUIPMENT,8-Dec,CDW GOVERNMENT INC. C/O ISM IN,9/24/14,9/24/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$613,726.08",FISCAL YEAR 2015,AP,Accounts payable,763639,CDW GOVERNMENT INC. C/O ISM IN
,ENTERPRISE OPERATIONS,2014Q4,EQUIPMENT,7-Oct,IRONBRICK ASSOCIATES INC,9/11/14,9/11/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$874,185.30",FISCAL YEAR 2015,AP,Accounts payable,753494,IRONBRICK ASSOCIATES INC
,LIFE CYCLE REPLACEMENT,2014Q4,EQUIPMENT,8-Dec,CDW GOVERNMENT INC. C/O ISM IN,9/22/14,9/22/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$1,555,249.38",FISCAL YEAR 2015,AP,Accounts payable,763596,CDW GOVERNMENT INC. C/O ISM IN
,ENTERPRISE OPERATIONS,2014Q4,EQUIPMENT,14-Oct,CDW GOVERNMENT INC. C/O ISM IN,9/26/14,9/26/14,"COMPUTER HARDW PURCH GREATER THAN OR =$25,000","$2,496,602.55",FISCAL YEAR 2015,AP,Accounts payable,753810,CDW GOVERNMENT INC. C/O ISM IN
N000015,HON. RICHARD R. NEAL,2015Q1,EQUIPMENT,4-Mar,MORE DIRECT INC,12/2/14,12/2/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$13.75,2014,AP,Accounts payable,E0252949,MORE DIRECT INC
N000015,HON. RICHARD R. NEAL,2014Q4,EQUIPMENT,19-Nov,MORE DIRECT INC,10/8/14,10/8/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$13.75,2014,AP,Accounts payable,E0216761,MORE DIRECT INC
S000185,"HON. ROBERT C. ""BOBBY"" SCOTT",2014Q4,EQUIPMENT,30-Oct,"BOONE, DEMONTRE",10/20/14,10/20/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$48.22,2014,AP,Accounts payable,E0210232,"BOONE, DEMONTRE"
D000399,HON. LLOYD DOGGETT,2014Q4,EQUIPMENT,13-Nov,"BOTELLO, BRYAN D",10/31/14,10/31/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$48.88,2014,AP,Accounts payable,E0214750,"BOTELLO, BRYAN D"
W000215,HON. HENRY A. WAXMAN,2014Q4,EQUIPMENT,6-Nov,"AWAN, ABID A",3/8/14,3/8/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$94.34,2014,AP,Accounts payable,E0212271,"AWAN, ABID A"
N000015,HON. RICHARD R. NEAL,2014Q2,EQUIPMENT,14-Apr,MORE DIRECT INC,1/16/14,1/16/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$143.47,2014,AP,Accounts payable,E0141102,MORE DIRECT INC
,COMMITTEE ON FINANCIAL SERVICE,2014Q3,EQUIPMENT,3-Sep,STORAGEHAWK,9/1/14,12/31/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$148.00,2014,AP,Accounts payable,E0190753,STORAGEHAWK
,SUPPLIES AND MATERIALS,2014Q3,EQUIPMENT,28-Jul,MORE DIRECT INC,4/23/14,4/23/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$379.00,FISCAL YEAR 2014,AP,Accounts payable,E0178626,MORE DIRECT INC
,SUPPLIES AND MATERIALS,2014Q3,EQUIPMENT,31-Jul,"ALGER, ABIGAIL S",7/28/14,7/28/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$422.94,FISCAL YEAR 2014,AP,Accounts payable,E0179915,"ALGER, ABIGAIL S"
C000714,"HON. JOHN CONYERS, JR.",2015Q1,EQUIPMENT,28-Jan,VERIZON WIRELESS,1/20/15,1/20/15,"COMPUTER HARDW PURCH LESS THAN $25,000",$429.99,2014,AP,Accounts payable,772801,VERIZON WIRELESS
M001151,HON. TIM MURPHY,2014Q2,EQUIPMENT,9-May,VERIZON WIRELESS,4/3/14,4/3/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$429.99,2014,AP,Accounts payable,727777,VERIZON WIRELESS
,COMMUNICATIONS SERVICES,2014Q4,EQUIPMENT,4-Nov,TSRC INC,5/19/14,5/19/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$450.00,FISCAL YEAR 2014,AP,Accounts payable,758489,TSRC INC
W000808,HON. FREDERICA S. WILSON,2014Q4,EQUIPMENT,26-Nov,CDW GOVERNMENT INC. C/O ISM IN,11/3/14,11/3/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$512.22,2014,AP,Accounts payable,E0219279,CDW GOVERNMENT INC. C/O ISM IN
R000598,HON. KEITH J. ROTHFUS,2015Q1,EQUIPMENT,12-Mar,HOUSECALL,2/11/15,2/11/15,"COMPUTER HARDW PURCH LESS THAN $25,000",$519.00,2014,AP,Accounts payable,779380,HOUSECALL
M000508,"HON. HOWARD P. ""BUCK"" MCKEON",2014Q2,EQUIPMENT,10-Jun,HOUSECALL,5/8/14,5/8/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$519.00,2014,AP,Accounts payable,732978,HOUSECALL
W000795,HON. JOE WILSON,2014Q3,EQUIPMENT,11-Jul,HOUSECALL,7/10/14,7/10/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$519.00,2014,AP,Accounts payable,738248,HOUSECALL
L000554,HON. FRANK A. LOBIONDO,2014Q4,EQUIPMENT,12-Nov,CDW GOVERNMENT INC. C/O ISM IN,10/3/14,10/3/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$520.62,2014,AP,Accounts payable,758761,CDW GOVERNMENT INC. C/O ISM IN
C001038,HON. JOSEPH CROWLEY,2014Q3,EQUIPMENT,28-Jul,CAPITOL IDEA TECHNOLOGY INC,3/28/14,3/28/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$521.00,2013,AP,Accounts payable,742722,CAPITOL IDEA TECHNOLOGY INC
C001038,HON. JOSEPH CROWLEY,2014Q2,EQUIPMENT,2-Jun,CAPITOL IDEA TECHNOLOGY INC,3/28/14,3/28/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$521.00,2014,AP,Accounts payable,732542,CAPITOL IDEA TECHNOLOGY INC
,SUPPLIES AND MATERIALS,2014Q4,EQUIPMENT,5-Dec,MORE DIRECT INC,7/10/14,7/10/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$523.98,FISCAL YEAR 2014,AP,Accounts payable,763599,MORE DIRECT INC
S001176,HON. STEVE SCALISE,2014Q3,EQUIPMENT,26-Aug,GEORGE W ALLEN COMPANY INC,8/19/14,8/19/14,"COMPUTER HARDW PURCH LESS THAN $25,000",$529.00,2014,AP,Accounts payable,747788,GEORGE W ALLEN COMPANY INC
