BIOGUIDE_ID,OFFICE,QUARTER,CATEGORY,DATE,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,TRANSCODE,TRANSCODELONG,RECORDID,RECIP (orig.)
K000368,HON. ANN KIRKPATRICK,2015Q1,PRINTING AND REPRODUCTION,20-Jan,CITI PCARD-LARSON NEWSPAPERS,11/29/14,12/28/14,ADVERTISEMENTS,$39.00,2014,AP,Accounts payable,772401,CITI PCARD-LARSON NEWSPAPERS
P000598,HON. JARED POLIS,2014Q1,PRINTING AND REPRODUCTION,21-Mar,CITI PCARD-FACEBK,1/29/14,2/28/14,ADVERTISEMENTS,$39.98,2014,AP,Accounts payable,721607,CITI PCARD-FACEBK
K000220,HON. JACK KINGSTON,2015Q1,PRINTING AND REPRODUCTION,21-Jan,ZYP LLC,11/11/14,11/11/14,ADVERTISEMENTS,$41.00,2014,AP,Accounts payable,E0236961,ZYP LLC
K000220,HON. JACK KINGSTON,2014Q1,PRINTING AND REPRODUCTION,5-Mar,YP LLC,3/1/14,3/31/14,ADVERTISEMENTS,$41.00,2014,AP,Accounts payable,E0124090,YP LLC
K000220,HON. JACK KINGSTON,2014Q2,PRINTING AND REPRODUCTION,2-Apr,YP LLC,3/15/14,3/15/14,ADVERTISEMENTS,$41.00,2014,AP,Accounts payable,E0134940,YP LLC
K000220,HON. JACK KINGSTON,2014Q2,PRINTING AND REPRODUCTION,7-May,YP LLC,5/1/14,5/31/14,ADVERTISEMENTS,$41.00,2014,AP,Accounts payable,E0147623,YP LLC
K000220,HON. JACK KINGSTON,2014Q2,PRINTING AND REPRODUCTION,28-May,YP LLC,6/1/14,6/30/14,ADVERTISEMENTS,$41.00,2014,AP,Accounts payable,E0156329,YP LLC
K000220,HON. JACK KINGSTON,2014Q2,PRINTING AND REPRODUCTION,30-Jun,YP LLC,6/1/14,6/30/14,ADVERTISEMENTS,$41.00,2014,AP,Accounts payable,E0168905,YP LLC
K000220,HON. JACK KINGSTON,2014Q3,PRINTING AND REPRODUCTION,28-Jul,YP LLC,7/15/14,7/15/14,ADVERTISEMENTS,$41.00,2014,AP,Accounts payable,E0178753,YP LLC
K000220,HON. JACK KINGSTON,2014Q3,PRINTING AND REPRODUCTION,9-Sep,YP LLC,8/11/14,8/11/14,ADVERTISEMENTS,$41.00,2014,AP,Accounts payable,E0191929,YP LLC
K000220,HON. JACK KINGSTON,2014Q4,PRINTING AND REPRODUCTION,28-Oct,YP LLC,10/1/14,10/31/14,ADVERTISEMENTS,$41.00,2014,AP,Accounts payable,E0209207,YP LLC
K000220,HON. JACK KINGSTON,2014Q1,PRINTING AND REPRODUCTION,5-Feb,YP LLC,1/1/14,1/31/14,ADVERTISEMENTS,$41.48,2014,AP,Accounts payable,E0113559,YP LLC
K000220,HON. JACK KINGSTON,2014Q4,PRINTING AND REPRODUCTION,1-Oct,YP LLC,10/1/14,10/31/14,ADVERTISEMENTS,$41.48,2014,AP,Accounts payable,E0199688,YP LLC
P000096,"HON. BILL PASCRELL, JR.",2014Q4,PRINTING AND REPRODUCTION,21-Oct,CITI PCARD-FACEBK,8/29/14,9/28/14,ADVERTISEMENTS,$41.67,2014,AP,Accounts payable,757962,CITI PCARD-FACEBK
G000571,HON. TULSI GABBARD,2014Q2,PRINTING AND REPRODUCTION,20-May,CITI PCARD-FACEBK,3/29/14,4/28/14,ADVERTISEMENTS,$42.52,2014,AP,Accounts payable,732083,CITI PCARD-FACEBK
T000238,HON. MAC THORNBERRY,2014Q2,PRINTING AND REPRODUCTION,22-May,CLAY COUNTY LEADER,5/20/14,5/20/14,ADVERTISEMENTS,$42.63,2014,AP,Accounts payable,E0155311,CLAY COUNTY LEADER
S001193,HON. ERIC SWALWELL,2014Q4,PRINTING AND REPRODUCTION,21-Oct,CITI PCARD-FACEBK,8/29/14,9/28/14,ADVERTISEMENTS,$43.15,2014,AP,Accounts payable,757962,CITI PCARD-FACEBK
M001163,HON. DORIS MATSUI,2015Q1,PRINTING AND REPRODUCTION,22-Jan,"DIETRICH, NATHAN",12/9/14,12/16/14,ADVERTISEMENTS,$45.00,2014,AP,Accounts payable,E0237174,"DIETRICH, NATHAN"
M001163,HON. DORIS MATSUI,2014Q2,PRINTING AND REPRODUCTION,2-May,"DIETRICH, NATHAN",2/26/14,3/4/14,ADVERTISEMENTS,$45.00,2014,AP,Accounts payable,E0146496,"DIETRICH, NATHAN"
C001097,HON. TONY CARDENAS,2014Q3,PRINTING AND REPRODUCTION,23-Sep,CITI PCARD-FACEBK,7/29/14,8/28/14,ADVERTISEMENTS,$45.22,2014,AP,Accounts payable,752863,CITI PCARD-FACEBK
C001066,HON. KATHY CASTOR,2014Q2,PRINTING AND REPRODUCTION,22-Apr,"HOPKINS,LARA S",2/5/14,2/20/14,ADVERTISEMENTS,$47.36,2014,AP,Accounts payable,E0142204,"HOPKINS,LARA S"
M001185,HON. SEAN PATRICK MALONEY,2014Q3,PRINTING AND REPRODUCTION,24-Aug,CITI PCARD-FACEBK,6/29/14,7/28/14,ADVERTISEMENTS,$47.53,2014,AP,Accounts payable,747662,CITI PCARD-FACEBK
T000238,HON. MAC THORNBERRY,2014Q2,PRINTING AND REPRODUCTION,22-May,THE BRIDGEPORT INDEX,3/1/14,3/31/14,ADVERTISEMENTS,$48.75,2014,AP,Accounts payable,E0155302,THE BRIDGEPORT INDEX
G000571,HON. TULSI GABBARD,2014Q2,PRINTING AND REPRODUCTION,19-Jun,CITI PCARD-FACEBK,4/29/14,5/28/14,ADVERTISEMENTS,$49.25,2014,AP,Accounts payable,737272,CITI PCARD-FACEBK
N000182,HON. RANDY NEUGEBAUER,2014Q2,PRINTING AND REPRODUCTION,16-Apr,KFYO-AM,3/28/14,3/28/14,ADVERTISEMENTS,$50.00,2014,AP,Accounts payable,E0142319,KFYO-AM
N000182,HON. RANDY NEUGEBAUER,2014Q2,PRINTING AND REPRODUCTION,17-Apr,KFYO-AM,3/28/14,3/28/14,ADVERTISEMENTS,$50.00,2014,AP,Accounts payable,E0142307,KFYO-AM
S001150,HON. ADAM B. SCHIFF,2014Q3,PRINTING AND REPRODUCTION,29-Jul,"BOLAND,PATRICK M",6/5/14,6/5/14,ADVERTISEMENTS,$50.00,2014,AP,Accounts payable,E0178862,"BOLAND,PATRICK M"
S001191,HON. KYRSTEN SINEMA,2014Q4,PRINTING AND REPRODUCTION,25-Nov,CAREERCAST,11/3/14,11/3/14,ADVERTISEMENTS,$50.00,2014,AP,Accounts payable,E0218917,CAREERCAST
D000612,HON. JEFF DENHAM,2014Q3,PRINTING AND REPRODUCTION,1-Aug,"LANGDON, JORDAN A",6/13/14,6/13/14,ADVERTISEMENTS,$50.14,2014,AP,Accounts payable,E0180109,"LANGDON, JORDAN A"
G000559,HON. JOHN GARAMENDI,2014Q3,PRINTING AND REPRODUCTION,21-Jul,CITI PCARD-FACEBK,5/29/14,6/28/14,ADVERTISEMENTS,$50.17,2014,AP,Accounts payable,742465,CITI PCARD-FACEBK
K000381,HON. DEREK KILMER,2014Q3,PRINTING AND REPRODUCTION,15-Jul,"SMITH,JONATHAN D",4/30/14,5/2/14,ADVERTISEMENTS,$50.46,2014,AP,Accounts payable,E0173582,"SMITH,JONATHAN D"
S000937,HON. STEVE STOCKMAN,2014Q3,PRINTING AND REPRODUCTION,21-Jul,CITI PCARD-FACEBOOK,5/29/14,6/28/14,ADVERTISEMENTS,$50.95,2014,AP,Accounts payable,742465,CITI PCARD-FACEBOOK
C001051,HON. JOHN R. CARTER,2014Q3,PRINTING AND REPRODUCTION,20-Aug,"PENA,NANCY E",7/4/14,7/4/14,ADVERTISEMENTS,$51.09,2014,AP,Accounts payable,E0187014,"PENA,NANCY E"
S001187,HON. STEVE STIVERS,2014Q3,PRINTING AND REPRODUCTION,7-Aug,"WHETSTONE,COURTNEY D",6/28/14,6/28/14,ADVERTISEMENTS,$51.33,2014,AP,Accounts payable,E0182192,"WHETSTONE,COURTNEY D"
G000559,HON. JOHN GARAMENDI,2014Q2,PRINTING AND REPRODUCTION,30-Jun,RIVER NEWS-HERALD,2/12/14,2/12/14,ADVERTISEMENTS,$52.28,2014,AP,Accounts payable,E0168621,RIVER NEWS-HERALD
N000181,HON. DEVIN NUNES,2014Q4,PRINTING AND REPRODUCTION,24-Nov,CITI PCARD-TWITTER ADVERTISING,10/1/14,10/28/14,ADVERTISEMENTS,$54.54,2014,AP,Accounts payable,763079,CITI PCARD-TWITTER ADVERTISING
S000051,HON. MARK SANFORD,2014Q2,PRINTING AND REPRODUCTION,28-May,"KOHAN,JONATHAN A",3/4/14,3/4/14,ADVERTISEMENTS,$54.77,2014,AP,Accounts payable,E0156731,"KOHAN,JONATHAN A"
F000451,HON. MICHAEL G. FITZPATRICK,2014Q3,PRINTING AND REPRODUCTION,12-Sep,"RITACCO II, PAUL A",7/30/14,8/2/14,ADVERTISEMENTS,$54.85,2014,AP,Accounts payable,E0194845,"RITACCO II, PAUL A"
R000589,HON. E. SCOTT RIGELL,2014Q3,PRINTING AND REPRODUCTION,24-Aug,CITI PCARD-SYMPLICITY CORPORATION,6/29/14,7/28/14,ADVERTISEMENTS,$55.00,2014,AP,Accounts payable,747662,CITI PCARD-SYMPLICITY CORPORATION
S001180,HON. KURT SCHRADER,2015Q1,PRINTING AND REPRODUCTION,20-Mar,PRICHARD COMMUNICATIONS INC,11/17/14,11/17/14,ADVERTISEMENTS,$59.00,2014,AP,Accounts payable,E0258676,PRICHARD COMMUNICATIONS INC
S001180,HON. KURT SCHRADER,2014Q4,PRINTING AND REPRODUCTION,20-Nov,"KUNSE, SUZANNE",11/17/14,11/17/14,ADVERTISEMENTS,$59.00,2014,AP,Accounts payable,E0216374,"KUNSE, SUZANNE"
P000608,HON. SCOTT H. PETERS,2015Q1,PRINTING AND REPRODUCTION,23-Jan,"DOROTHY,MICHELLE M",12/20/14,12/23/14,ADVERTISEMENTS,$61.54,2014,AP,Accounts payable,E0239658,"DOROTHY,MICHELLE M"
T000238,HON. MAC THORNBERRY,2014Q2,PRINTING AND REPRODUCTION,18-Jun,MOORE COUNTY PUBLISHING CO LLC,4/3/14,4/3/14,ADVERTISEMENTS,$62.40,2014,AP,Accounts payable,E0165396,MOORE COUNTY PUBLISHING CO LLC
K000368,HON. ANN KIRKPATRICK,2014Q1,PRINTING AND REPRODUCTION,21-Mar,CITI PCARD-FACEBK,1/29/14,2/28/14,ADVERTISEMENTS,$62.71,2014,AP,Accounts payable,721607,CITI PCARD-FACEBK
S001193,HON. ERIC SWALWELL,2014Q2,PRINTING AND REPRODUCTION,20-May,CITI PCARD-FACEBK,3/29/14,4/28/14,ADVERTISEMENTS,$64.64,2014,AP,Accounts payable,732083,CITI PCARD-FACEBK
P000607,HON. MARK POCAN,2015Q1,PRINTING AND REPRODUCTION,20-Jan,CITI PCARD-FACEBK,11/29/14,12/28/14,ADVERTISEMENTS,$65.17,2014,AP,Accounts payable,772401,CITI PCARD-FACEBK
O000170,"HON. BETO O""ROURKE",2014Q3,PRINTING AND REPRODUCTION,21-Jul,CITI PCARD-EL DIARIO DE EL PASO,5/29/14,6/28/14,ADVERTISEMENTS,$68.40,2014,AP,Accounts payable,742465,CITI PCARD-EL DIARIO DE EL PASO
W000795,HON. JOE WILSON,2014Q2,PRINTING AND REPRODUCTION,14-May,THE TIMES AND DEMOCRAT,3/3/14,3/30/14,ADVERTISEMENTS,$70.00,2014,AP,Accounts payable,E0151493,THE TIMES AND DEMOCRAT
S001187,HON. STEVE STIVERS,2014Q3,PRINTING AND REPRODUCTION,7-Aug,"WHETSTONE,COURTNEY D",6/30/14,6/30/14,ADVERTISEMENTS,$71.75,2014,AP,Accounts payable,E0182192,"WHETSTONE,COURTNEY D"
P000592,HON. TED POE,2014Q3,PRINTING AND REPRODUCTION,23-Sep,CITI PCARD-FACEBOOK,7/29/14,8/28/14,ADVERTISEMENTS,$73.55,2014,AP,Accounts payable,752863,CITI PCARD-FACEBOOK
P000197,HON. NANCY PELOSI,2015Q1,PRINTING AND REPRODUCTION,6-Jan,"BERNAL, DANIEL E",11/18/14,11/18/14,ADVERTISEMENTS,$75.00,2014,AP,Accounts payable,E0232477,"BERNAL, DANIEL E"
S000051,HON. MARK SANFORD,2014Q1,PRINTING AND REPRODUCTION,21-Feb,"KOHAN,JONATHAN A",1/15/14,1/15/14,ADVERTISEMENTS,$75.00,2014,AP,Accounts payable,E0121054,"KOHAN,JONATHAN A"
M000689,HON. JOHN L. MICA,2014Q2,PRINTING AND REPRODUCTION,13-Jun,THE SANFORD HERALD,4/9/14,4/9/14,ADVERTISEMENTS,$75.00,2014,AP,Accounts payable,E0160597,THE SANFORD HERALD
M000689,HON. JOHN L. MICA,2014Q2,PRINTING AND REPRODUCTION,13-Jun,THE SANFORD HERALD,4/6/14,4/6/14,ADVERTISEMENTS,$75.00,2014,AP,Accounts payable,E0160608,THE SANFORD HERALD
N000182,HON. RANDY NEUGEBAUER,2014Q3,PRINTING AND REPRODUCTION,17-Sep,KWKC-AM,8/2/14,8/6/14,ADVERTISEMENTS,$75.00,2014,AP,Accounts payable,E0196113,KWKC-AM
S000937,HON. STEVE STOCKMAN,2014Q2,PRINTING AND REPRODUCTION,19-Jun,CITI PCARD-FACEBK,4/29/14,5/28/14,ADVERTISEMENTS,$75.25,2014,AP,Accounts payable,737272,CITI PCARD-FACEBK
D000610,HON. THEODORE E. DEUTCH,2014Q2,PRINTING AND REPRODUCTION,21-Apr,CITI PCARD-FACEBK,3/1/14,3/28/14,ADVERTISEMENTS,$75.29,2014,AP,Accounts payable,726853,CITI PCARD-FACEBK
N000002,HON. JERROLD NADLER,2014Q3,PRINTING AND REPRODUCTION,24-Aug,CITI PCARD-FACEBOOK,6/29/14,7/28/14,ADVERTISEMENTS,$75.38,2014,AP,Accounts payable,747662,CITI PCARD-FACEBOOK
W000816,HON. ROGER WILLIAMS,2014Q2,PRINTING AND REPRODUCTION,19-Jun,CITI PCARD-FACEBK,4/29/14,5/28/14,ADVERTISEMENTS,$75.62,2014,AP,Accounts payable,737272,CITI PCARD-FACEBK
L000579,HON. ALAN S. LOWENTHAL,2014Q3,PRINTING AND REPRODUCTION,29-Jul,"HIGGINBOTHAM, KEITH L",7/9/14,7/10/14,ADVERTISEMENTS,$75.92,2014,AP,Accounts payable,E0179138,"HIGGINBOTHAM, KEITH L"
H001034,HON. MICHAEL M. HONDA,2014Q2,PRINTING AND REPRODUCTION,21-Apr,CITI PCARD-FACEBK,3/1/14,3/28/14,ADVERTISEMENTS,$76.81,2014,AP,Accounts payable,726853,CITI PCARD-FACEBK
N000181,HON. DEVIN NUNES,2014Q4,PRINTING AND REPRODUCTION,24-Nov,CITI PCARD-FACEBK,10/1/14,10/28/14,ADVERTISEMENTS,$78.49,2014,AP,Accounts payable,763079,CITI PCARD-FACEBK
T000238,HON. MAC THORNBERRY,2014Q2,PRINTING AND REPRODUCTION,22-May,"LYNN,ALISON S",3/26/14,3/26/14,ADVERTISEMENTS,$79.20,2014,AP,Accounts payable,E0155304,"LYNN,ALISON S"
B001252,HON. JOHN BARROW,2014Q1,PRINTING AND REPRODUCTION,26-Mar,WHKN-FM,2/13/14,2/14/14,ADVERTISEMENTS,$80.00,2014,AP,Accounts payable,E0133898,WHKN-FM
B001270,HON. KAREN BASS,2014Q1,PRINTING AND REPRODUCTION,20-Feb,ACTION WITHOUT BORDERS,1/12/14,1/12/14,ADVERTISEMENTS,$80.00,2014,AP,Accounts payable,E0120768,ACTION WITHOUT BORDERS
B001252,HON. JOHN BARROW,2014Q2,PRINTING AND REPRODUCTION,1-Apr,WPMX,2/13/14,2/14/14,ADVERTISEMENTS,$80.00,2014,AP,Accounts payable,E0133894,WPMX
B001252,HON. JOHN BARROW,2014Q2,PRINTING AND REPRODUCTION,1-Apr,WPTB-AM,2/13/14,2/14/14,ADVERTISEMENTS,$80.00,2014,AP,Accounts payable,E0133895,WPTB-AM
B001252,HON. JOHN BARROW,2014Q2,PRINTING AND REPRODUCTION,1-Apr,WMCD-FM,2/13/14,2/14/14,ADVERTISEMENTS,$80.00,2014,AP,Accounts payable,E0133896,WMCD-FM
